"","x"
"1",0.1402
"2",0.07311
"3",0.0554
"4",0.04257
"5",0.03635
"6",0.02545
"7",0.024
"8",0.01988
"9",0.01897
"10",0.01734
"11",0.01705
"12",0.01498
"13",0.01442
"14",0.01314
"15",0.01251
"16",0.01247
"17",0.01215
"18",0.0119
"19",0.0117
"20",0.01109
"21",0.01033
"22",0.009725
"23",0.009527
"24",0.00908
"25",0.008875
"26",0.008561
"27",0.008194
"28",0.00794
"29",0.007809
"30",0.007544
"31",0.0075
"32",0.007251
"33",0.006995
"34",0.00679
"35",0.006755
"36",0.006614
"37",0.006596
"38",0.006539
"39",0.006478
"40",0.006423
"41",0.006353
"42",0.006264
"43",0.006234
"44",0.006122
"45",0.005972
"46",0.005794
"47",0.005675
"48",0.00544
"49",0.005332
"50",0.005242
"51",0.005176
"52",0.005137
"53",0.004933
"54",0.004789
"55",0.004759
"56",0.004699
"57",0.004552
"58",0.004533
"59",0.004396
"60",0.004305
"61",0.004255
"62",0.004222
"63",0.004153
"64",0.004036
"65",0.003953
"66",0.003888
"67",0.003806
"68",0.003771
"69",0.003746
"70",0.003712
"71",0.003518
"72",0.003452
"73",0.003407
"74",0.003284
"75",0.003255
"76",0.003228
"77",0.003217
"78",0.003156
"79",0.003149
"80",0.002984
"81",0.00292
"82",0.002846
"83",0.002794
"84",0.002739
"85",0.002624
"86",0.002592
"87",0.00256
"88",0.002523
"89",0.002485
"90",0.002424
"91",0.002313
"92",0.002153
"93",0.002049
"94",0.001989
"95",0.001817
"96",0.001748
"97",0.001737
"98",0.001644
"99",0.001636
"100",0.00155
"101",0.0015
"102",0.001438
"103",0.001391
"104",0.001367
"105",0.001332
"106",0.001225
"107",0.001195
"108",0.001182
"109",0.001162
"110",0.001144
"111",0.001137
"112",0.001114
"113",0.001046
"114",0.001004
"115",0.0009839
"116",0.000899
"117",0.000872
"118",0.00081
"119",0.0007999
"120",0.0007982
"121",0.000794
"122",0.0007797
"123",0.0007675
"124",0.0007642
"125",0.0007623
"126",0.0007556
"127",0.0007486
"128",0.0007467
"129",0.0007412
"130",0.0007245
"131",0.0007163
"132",0.000709
"133",0.0006943
"134",0.0006721
"135",0.0006648
"136",0.0006348
"137",0.0005456
"138",0.0005314
"139",0.0005073
"140",0.0004163
"141",0.0003941
"142",0.0003026
"143",5.91e-14
