"","CPR_205","CPR_206","CPR_207","CPR_209","CPR_210","CPR_211","CPR_212","CPR_214","CPR_216","CPR_217","CPR_218","CPR_219","CPR_220","CPR_221","CPR_222","CPR_223","CPR_224","CPR_225","CPR_226","CPR_228","CPR_230","CPR_231","CPR_232","CPR_235","CPR_236","CPR_237","CPR_238","CPR_239","CPR_240","CPR_241","CPR_243","CPR_245","CPR_246","CPR_250","CPR_251","CPR_252","CPR_253","CPR_254","CPR_255","CPR_256","CPR_257","CPR_258","CPR_259","CPR_260","CPR_261","CPR_262","CPR_263","CPR_264","CPR_265","CPR_266","CPR_267","CPR_268","CPR_269","CPR_270","CPR_271","CPR_272","CPR_273","CPR_274","CPR_276","CPR_277","CPR_278","CPR_279","CPR_280","CPR_282","CPR_283","CPR_284","CPR_285","CPR_288","CPR_290","CPR_291","CPR_292","CPR_293","CPR_294","CPR_295","CPR_319","CPR_320","CPR_321","CPR_322","CPR_323","CPR_324","CPR_325","CPR_326","CPR_327","CPR_328","CPR_329","CPR_330","CPR_331","CPR_332","CPR_334","CPR_335","CPR_336","CPR_337","CPR_338","CPR_339","CPR_340","CPR_341","CPR_342","CPR_343","CPR_344","CPR_345","CPR_346","CPR_347","CPR_348","CPR_349","CPR_350","CPR_351","CPR_352","CPR_353","CPR_354","CPR_355","CPR_356","CPR_357","CPR_359","CPR_361","CPR_362","CPR_363","CPR_365","CPR_366","CPR_367","CPR_368","CPR_369","CPR_371","CPR_372","CPR_373","CPR_374","CPR_375","CPR_376_3","CPR_378","CPR_379","CPR_380","CPR_381","CPR_382","CPR_383","CPR_384","CPR_385","CPR_387","CPR_388","CPR_389","CPR_390","CPR_391","CPR_P106","CPR_P1D7","CPR_P1E1","CPR_P1G3","CPR_P29B","CPR_P2A8","CPR_P2H5","CPR_P62","CPR_P67","CPR_P89","CPR_sperm"
"CPR_205",0,0.159975627919572,0.151682350551757,0.174514250897028,0.167185701712816,0.0746902714778959,0.156252115631982,0.171010764335522,0.13865005754519,0.172449394083,0.0417710378444249,0.100602531988356,0.105138446956875,0.143981450138785,0.155388937783495,0.0675309728522104,0.0405355087671789,0.134351093358608,0.157639970211902,0.0462392525895335,0.12604089093494,0.0719145623180557,0.102091936903392,0.157724595491165,0.151428474713967,0.140308713018753,0.150700697312301,0.152596303567802,0.070018956062555,0.133047864057951,0.108117256786947,0.0671416965675987,0.0543802044546747,0.0804617155236612,0.122198903256381,0.113600974883217,0.11708753638887,0.146977185024711,0.135975898720466,0.123891408841649,0.122283528535644,0.0897535711867849,0.0522476474172365,0.135383521765622,0.0743009951932841,0.155812064179812,0.0725577144404577,0.117476812673482,0.0927662311285627,0.0408909349400853,0.169250558526843,0.123637533003859,0.140579513912396,0.134147992688376,0.03902917879629,0.111265317175547,0.119033917811929,0.151411549658114,0.0890934940085302,0.0742332949698734,0.0733531920655338,0.0662277435515537,0.0884334168302755,0.0617595288064451,0.093984835149956,0.152342427730011,0.0922923295646876,0.156184415408571,0.0607271003994313,0.154999661498883,0.144929253266536,0.174243450003385,0.179134791144811,0.127090244397807,0.0763489269514589,0.170723038386027,0.0838298016383454,0.136771376345542,0.146164782343782,0.152003926612958,0.145741655947465,0.157521494820933,0.12560083948277,0.09779297271681,0.148957416559475,0.149668268905287,0.0928677814636788,0.159552501523255,0.144861553043125,0.0713391104190644,0.161092681605849,0.138023830478641,0.135332746598064,0.17793311217927,0.161498882946314,0.145183129104326,0.137922280143524,0.0948987881660009,0.15220702728319,0.127056394286101,0.114210276893914,0.118238440186853,0.156150565296865,0.157267618983143,0.13221853632117,0.158486223004536,0.10857423329497,0.176240606594002,0.0988592512355291,0.0721684381558459,0.0610994516281904,0.173431047322456,0.147400311421028,0.147518786811996,0.167710378444249,0.160855730823912,0.0547187055717284,0.0640444113465574,0.157199918759732,0.0509274930607271,0.0452068241825198,0.143219822625415,0.0695789046103852,0.106780177374585,0.100280955927155,0.165290095457315,0.176071356035475,0.162514386297475,0.174260375059238,0.172855595423465,0.16160043328143,0.12257125448514,0.171112314670638,0.142322794665222,0.0557511339787421,0.123620607948006,0.120523322726965,0.128698124703812,0.125973190711529,0.164173041771038,0.158164646943335,0.156573691693183,0.0970821203709972,0.0757057748290569,0.0711190846929795,0.169470584252928,0.115141154965811,0.0551418319680455,0.0462561776453862,0.0787353598266874,0.176274456705707
"CPR_206",0.159975627919572,0,0.166745650260646,0.173058696093697,0.170401462324826,0.133691016180353,0.168099654728861,0.169216708415138,0.165594746462663,0.173938798998037,0.160077178254688,0.164206891882743,0.119118543091192,0.166559474646266,0.16463001827906,0.163665290095457,0.167981179337892,0.167456502606459,0.166000947803128,0.166982601042583,0.162328210683095,0.165780922077043,0.16342833931352,0.140156387516079,0.164494617832239,0.162480536185769,0.165459346015842,0.167524202829869,0.16595017263557,0.162700561911854,0.160246428813215,0.16601787285898,0.165679371741927,0.153273305801909,0.164139191659332,0.163902240877395,0.162649786744296,0.164173041771038,0.164917744228556,0.146672534019362,0.166627174869677,0.167236476880374,0.166999526098436,0.164799268837587,0.149008191727033,0.16759190305328,0.162192810236274,0.161481957890461,0.161922009342631,0.165290095457315,0.170943064112112,0.135823573217792,0.133200189560626,0.164545392999797,0.16759190305328,0.164646943334913,0.161888159230925,0.167558052941575,0.1368221515131,0.164105341547627,0.161058831494144,0.138836233159569,0.161888159230925,0.151293074267145,0.163343714034256,0.167981179337892,0.162632861688444,0.164613093223208,0.156387516078803,0.164308442217859,0.133724866292059,0.146554058628393,0.096879019700765,0.131998510595085,0.135823573217792,0.144353801367545,0.161312707331934,0.138734682824453,0.133944892018144,0.165814772188748,0.139580935617088,0.141036490420418,0.143744499356848,0.146841784577889,0.134029517297407,0.108168031954505,0.143135197346151,0.0682249001421705,0.135485072100738,0.135891273441202,0.134181842800081,0.103902917879629,0.148026538487577,0.110368289215354,0.139428610114413,0.10788030600501,0.114938054295579,0.14716336063909,0.141544242095999,0.134537268972988,0.143727574300995,0.148365039604631,0.137059102295038,0.097149820594408,0.13404644235326,0.168505856069325,0.14022408773949,0.175969805700359,0.164426917608828,0.162243585403832,0.16342833931352,0.133318664951594,0.0925631304583305,0.135806648161939,0.1434398483515,0.147755737593934,0.165713221853632,0.14091801502945,0.0959650666847201,0.159687901970077,0.158604698395505,0.1065601516485,0.133521765621827,0.148415814772189,0.139682485952204,0.142610520614718,0.176646807934466,0.134351093358608,0.148195789046104,0.134232617967639,0.138277706316431,0.137465303635502,0.173380272154898,0.163546814704489,0.167253401936226,0.160551079818563,0.107863380949157,0.133470990454268,0.114294902173177,0.140241012795342,0.147468011644438,0.166728725204793,0.141967368492316,0.152545528400244,0.164917744228556,0.143372148128089,0.137922280143524,0.166847200595762,0.159349400853023,0.16349603953693,0.105561573353192
"CPR_207",0.151682350551757,0.166745650260646,0,0.169538284476339,0.0287048947261526,0.145910906505991,0.0340193622638955,0.16671180014894,0.155202762169115,0.17099383927967,0.14873739083339,0.155067361722294,0.154491909823302,0.157013743145352,0.161211156996818,0.151546950104935,0.154711935549387,0.156658316972446,0.15933247579717,0.132184686209464,0.151293074267145,0.102955114751879,0.151750050775168,0.16412226660348,0.156844492586826,0.152562453456096,0.0284002437208043,0.0295849976304922,0.103835217656218,0.151970076501252,0.146977185024711,0.153391781192878,0.15264707873536,0.152934804684855,0.15655676663733,0.153882607812606,0.152156252115632,0.159670976914224,0.158012321440661,0.158993974680116,0.157419944485817,0.154339584320628,0.152951729740708,0.158469297948683,0.154356509376481,0.162886737526234,0.140494888633133,0.149905219687225,0.151733125719315,0.151343849434703,0.167287252047932,0.155016586554736,0.161228082052671,0.038656827567531,0.154965811387178,0.0591699952609844,0.151733125719315,0.160991131270733,0.149888294631372,0.104529144946178,0.149922144743078,0.149803669352109,0.151834676054431,0.154170333762101,0.151597725272493,0.160601854986121,0.149702119016993,0.159027824791822,0.153104055243382,0.158553923227947,0.161651208448988,0.176917608828109,0.183095254214339,0.155456638006905,0.150853022814975,0.174480400785323,0.153561031751405,0.157047593257058,0.161566583169724,0.161143456773407,0.159010899735969,0.166525624534561,0.153899532868458,0.152257802450748,0.161109606661702,0.163039063028908,0.152850179405592,0.16872588179541,0.160568004874416,0.152274727506601,0.168607406404441,0.158401597725272,0.156692167084151,0.173126396317108,0.167558052941575,0.158012321440661,0.158401597725272,0.150886872926681,0.165408570848284,0.155761289012254,0.153611806918963,0.157369169318259,0.165628596574369,0.163665290095457,0.159907927696161,0.162277435515537,0.155050436666441,0.172990995870286,0.151191523932029,0.104461444722768,0.152630153679507,0.169707535034866,0.158232347166746,0.160347979148331,0.168996682689053,0.167388802383048,0.151530025049083,0.150260645860131,0.166102498138244,0.154136483650396,0.15359488186311,0.162480536185769,0.150277570915984,0.156404441134656,0.155355087671789,0.170096811319477,0.0322422313993636,0.168099654728861,0.179574842596981,0.175529754248189,0.170604562995058,0.152427053009275,0.169318258750254,0.155388937783495,0.153205605578498,0.150023695078194,0.152917879629003,0.152257802450748,0.154001083203575,0.170773813553585,0.167236476880374,0.158672398618915,0.149752894184551,0.151970076501252,0.152291652562453,0.175529754248189,0.152782479182181,0.119558594543362,0.15454268499086,0.150599146977185,0.178339313519735
"CPR_209",0.174514250897028,0.173058696093697,0.169538284476339,0,0.170519937715794,0.168675106627852,0.168928982465642,0.172144743077652,0.172787895200054,0.180658046171552,0.172584794529822,0.169572134588044,0.172754045088349,0.171112314670638,0.170096811319477,0.172313993636179,0.176562182655203,0.172043192742536,0.170621488050911,0.17603750592377,0.168065804617155,0.174801976846524,0.170215286710446,0.171789316904746,0.169589059643897,0.169572134588044,0.168387380678356,0.169267483582696,0.173481822490014,0.170841513776995,0.166728725204793,0.173684923160246,0.174531175952881,0.173126396317108,0.16916593324758,0.169944485816803,0.168996682689053,0.167879629002776,0.168218130119829,0.172449394083,0.170232211766299,0.171857017128157,0.175817480197685,0.168844357186379,0.174175749779974,0.163580664816194,0.169081307968316,0.167693453388396,0.169487509308781,0.175258953354546,0.176206756482296,0.169521359420486,0.170418387380678,0.168658181571999,0.175800555141832,0.166830275539909,0.169250558526843,0.171196939949902,0.170147586487035,0.17282174531176,0.170486087604089,0.170706113330174,0.171315415340871,0.171857017128157,0.172703269920791,0.172060117798389,0.169690609979013,0.168861282242231,0.175258953354546,0.17011373637533,0.171857017128157,0.179134791144811,0.183619930945772,0.17124771511746,0.17080766366529,0.17950714237357,0.172669419809085,0.17168776656963,0.171603141290366,0.171890867239862,0.172703269920791,0.172060117798389,0.172737120032496,0.168624331460294,0.172466319138853,0.171349265452576,0.171010764335522,0.172432469027148,0.169792160314129,0.173143321372961,0.1755974544716,0.170909214000406,0.173431047322456,0.1790670909214,0.173126396317108,0.170147586487035,0.170333762101415,0.171653916457924,0.174497325841175,0.171010764335522,0.17282174531176,0.172246293412768,0.174852752014082,0.173904948886331,0.171332340396723,0.170384537268973,0.172060117798389,0.178017737458534,0.171281565229165,0.170012186040214,0.172449394083,0.178931690474579,0.170638413106763,0.17099383927967,0.176596032766908,0.175022002572608,0.174124974612416,0.170892288944554,0.171569291178661,0.174700426511407,0.17673143321373,0.171366190508429,0.170706113330174,0.17219551824521,0.170266061878004,0.176240606594002,0.175783630085979,0.175800555141832,0.183552230722361,0.181199647958838,0.175732854918421,0.167371877327195,0.176748358269582,0.170266061878004,0.174785051790671,0.16784577889107,0.168607406404441,0.171603141290366,0.17124771511746,0.17603750592377,0.176223681538149,0.170706113330174,0.170079886263625,0.173109471261255,0.172652494753233,0.179710243043802,0.169589059643897,0.175191253131135,0.177273035001016,0.170824588721143,0.179608692708686
"CPR_210",0.167185701712816,0.170401462324826,0.0287048947261526,0.170519937715794,0,0.160838805768059,0.0259968857897231,0.167930404170334,0.165459346015842,0.175868255365243,0.164206891882743,0.16576399702119,0.167693453388396,0.1655101211834,0.165205470178052,0.16620404847336,0.170181436598741,0.166610249813824,0.165154695010494,0.146977185024711,0.163885315821542,0.115987407758446,0.164748493670029,0.170723038386027,0.164731568614176,0.1639360909891,0.0295849976304922,0.0282309931622774,0.117307562114955,0.163851465709837,0.159874077584456,0.168116579784713,0.167202626768668,0.166982601042583,0.165053144675377,0.164951594340261,0.163259088754993,0.166982601042583,0.166271748696771,0.167659603276691,0.165984022747275,0.165848622300454,0.168488931013472,0.164528467943944,0.167761153611807,0.168607406404441,0.154779635772798,0.162971362805497,0.163580664816194,0.165730146909485,0.171620066346219,0.165171620066346,0.168404305734209,0.0451560490149618,0.16985986053754,0.0709498341344526,0.161651208448988,0.16803195450545,0.163292938866698,0.113025522984226,0.164477692776386,0.164731568614176,0.164663868390766,0.167405727438901,0.163783765486426,0.168928982465642,0.163783765486426,0.167625753164985,0.16803195450545,0.166136348249949,0.169741385146571,0.179727168099655,0.184889310134723,0.167473427662311,0.165340870624873,0.1774930607271,0.167541127885722,0.166796425428204,0.169826010425834,0.166999526098436,0.167879629002776,0.169572134588044,0.166051722970686,0.165019294563672,0.168082729673008,0.17099383927967,0.165747071965337,0.17282174531176,0.167947329226186,0.167134926545258,0.172804820255907,0.168624331460294,0.166508699478708,0.178440863854851,0.171349265452576,0.166745650260646,0.169199783359285,0.163411414257667,0.169572134588044,0.16784577889107,0.164883894116851,0.169284408638549,0.171010764335522,0.17358337282513,0.168708956739557,0.167388802383048,0.166864125651615,0.1755974544716,0.164528467943944,0.116884435718638,0.167354952271343,0.175563604359894,0.167371877327195,0.168708956739557,0.17332949698734,0.173211021596371,0.166694875093088,0.164613093223208,0.170773813553585,0.168996682689053,0.168455080901767,0.170435312436531,0.165103919842935,0.167473427662311,0.166593324757972,0.172804820255907,0.018499086046984,0.173752623383657,0.181504298964187,0.176680658046172,0.174632726287997,0.164037641324216,0.173312571931487,0.165036219619525,0.16853970618103,0.162412835962359,0.165814772188748,0.165425495904136,0.167236476880374,0.173955724053889,0.171772391848893,0.165442420959989,0.16386839076569,0.166762575316499,0.166677950037235,0.178847065195315,0.165780922077043,0.134960395369305,0.169842935481687,0.16532394556902,0.179185566312369
"CPR_211",0.0746902714778959,0.133691016180353,0.145910906505991,0.168675106627852,0.160838805768059,0,0.149972919910636,0.164257667050301,0.13934398483515,0.170096811319477,0.0754011238237086,0.108506533071559,0.091784577889107,0.142779771173245,0.149380542955792,0.0885011170536863,0.0787692099383928,0.134638819308104,0.153188680522646,0.0802416897975763,0.125820865208855,0.0915307020513168,0.112805497258141,0.144539976981924,0.146334032902309,0.138836233159569,0.145673955724054,0.147468011644438,0.0893304447904678,0.13272628799675,0.113008597928373,0.0897366461309322,0.0866224358540383,0.0928677814636788,0.120827973732313,0.116427459210615,0.115648906641392,0.143642949021732,0.134401868526166,0.119744770157742,0.125854715320561,0.103818292600366,0.0858777333965202,0.131913885315822,0.0854207568884977,0.153222530634351,0.0895673955724054,0.122368153814908,0.100467131541534,0.0779060320899059,0.166085573082391,0.116715185160111,0.132743213052603,0.131558459142915,0.0787522848825401,0.116055107981856,0.117561437952745,0.148855866224359,0.09527113939476,0.0936124839211969,0.0900920723038386,0.081544919098233,0.0987746259562657,0.0826619727845102,0.102464288132151,0.151242299099587,0.105239997291991,0.151868526166136,0.0824419470584253,0.150243720804279,0.135468147044885,0.163732990318868,0.154170333762101,0.122706654931961,0.0809694671992418,0.16072033037709,0.0979283731636314,0.129544377496446,0.135958973664613,0.150599146977185,0.133369440119152,0.151987001557105,0.119457044208246,0.0974036964321982,0.131101482634893,0.126633267889784,0.0949834134452644,0.134621894252251,0.138582357321779,0.0760612010019633,0.145030803601652,0.108151106898653,0.128241148195789,0.151377699546409,0.152240877394895,0.117476812673482,0.120675648229639,0.0969128698124704,0.145149278992621,0.126091666102498,0.112568546476203,0.114904204183874,0.146621758851804,0.133081714169657,0.1251607880306,0.157792295714576,0.106424751201679,0.171992417574978,0.107203303770902,0.0953726897298761,0.0869440119152393,0.149075891950443,0.124229909958703,0.142492045223749,0.153747207365784,0.150345271139395,0.0861146841784578,0.0765520276216912,0.131727709701442,0.0782276081511069,0.0765012524541331,0.115310405524338,0.0766366529009546,0.105206147180286,0.104021393270598,0.150785322591565,0.169622909755602,0.148788166000948,0.168962832577348,0.162649786744296,0.152985579852414,0.112568546476203,0.168015029449597,0.140748764470923,0.0870794123620608,0.126176291381762,0.103039740031142,0.118830817141697,0.105003046510053,0.160331054092478,0.155778214068106,0.155202762169115,0.104884571119085,0.090819849705504,0.0891781192877937,0.16342833931352,0.115564281362128,0.0833897501861756,0.077042854241419,0.0940525353733667,0.156929117866089
"CPR_212",0.156252115631982,0.168099654728861,0.0340193622638955,0.168928982465642,0.0259968857897231,0.149972919910636,0,0.166813350484057,0.161701983616546,0.176477557375939,0.153205605578498,0.154627310270124,0.159637126802518,0.159247850517907,0.159112450071085,0.155473563062758,0.159146300182791,0.157403019429964,0.163699140207163,0.136517500507752,0.156709092140004,0.105493873129781,0.154593460158419,0.167270326992079,0.159823302416898,0.157741520547018,0.031954505449868,0.0284340938325096,0.106881727709701,0.155321237560084,0.1519531514454,0.157047593257058,0.156844492586826,0.155812064179812,0.154085708482838,0.154898111163767,0.152697853902918,0.158012321440661,0.155778214068106,0.157673820323607,0.155219687224968,0.154813485884503,0.157893846049692,0.154441134655744,0.156793717419267,0.160957281159028,0.144116850585607,0.154745785661093,0.152917879629003,0.155067361722294,0.166847200595762,0.154238033985512,0.158858574233295,0.0415002369507819,0.159061674903527,0.0640444113465574,0.151157673820324,0.162243585403832,0.153307155913615,0.101651885451222,0.153679507142374,0.155185837113262,0.154136483650396,0.156878342698531,0.153053280075824,0.162869812470381,0.153865682756753,0.163834540653984,0.157843070882134,0.160957281159028,0.164866969060998,0.178203913072913,0.184280008124027,0.161109606661702,0.157284544038995,0.176477557375939,0.156641391916593,0.159484801299844,0.162819037302823,0.160161803533952,0.163885315821542,0.16777807866766,0.159687901970077,0.154627310270124,0.163005212917203,0.164426917608828,0.155287387448379,0.168861282242231,0.161312707331934,0.156032089905897,0.166339448920181,0.163648365039605,0.161803533951662,0.174514250897028,0.167253401936226,0.163089838196466,0.163309863922551,0.15264707873536,0.161177306885113,0.162260510459685,0.155304312504231,0.160415679371742,0.168099654728861,0.169521359420486,0.158655473563063,0.163326788978404,0.156505991469772,0.174785051790671,0.153797982533342,0.107101753435786,0.156590616749035,0.166864125651615,0.162937512693792,0.166136348249949,0.169504434364633,0.167219551824521,0.156201340464424,0.154356509376481,0.167185701712816,0.157792295714576,0.157792295714576,0.163055988084761,0.15403493331528,0.156675242028299,0.156235190576129,0.168776656962968,0.0306851262609167,0.169656759867308,0.180725746394963,0.176951458939815,0.173007920926139,0.155338162615937,0.172330918692032,0.158943199512558,0.159197075350349,0.154999661498883,0.15863854850721,0.160686480265385,0.161448107778756,0.172263218468621,0.170282986933857,0.162057409789452,0.156082865073455,0.157216843815585,0.156726017195857,0.177797711732449,0.158266197278451,0.124128359623587,0.159349400853023,0.153747207365784,0.178407013743145
"CPR_214",0.171010764335522,0.169216708415138,0.16671180014894,0.172144743077652,0.167930404170334,0.164257667050301,0.166813350484057,0,0.170604562995058,0.17332949698734,0.169690609979013,0.169826010425834,0.171484665899397,0.169842935481687,0.0256753097285221,0.169589059643897,0.173837248662921,0.170773813553585,0.167964254282039,0.174192674835827,0.167033376210141,0.170249136822152,0.168641256516147,0.172077042854241,0.0309559271545596,0.165797847132896,0.166102498138244,0.167287252047932,0.170587637939205,0.165645521630221,0.078599959379866,0.171772391848893,0.174548101008733,0.170604562995058,0.0620134046442353,0.167253401936226,0.0639428610114413,0.171180014894049,0.170401462324826,0.173143321372961,0.166931825875025,0.166187123417507,0.173498747545867,0.0453760747410466,0.171890867239862,0.167998104393744,0.167608828109133,0.165882472412159,0.0937817344797238,0.172534019362264,0.170739963441879,0.158604698395505,0.171620066346219,0.165899397468012,0.174260375059238,0.166305598808476,0.0636889851736511,0.170536862771647,0.165053144675377,0.168810507074673,0.116884435718638,0.169741385146571,0.0993670029111096,0.170452237492384,0.092427730011509,0.171738541737188,0.168353530566651,0.171552366122808,0.173549522713425,0.168370455622504,0.173938798998037,0.17881321508361,0.182790603208991,0.171129239726491,0.170079886263625,0.17742536050369,0.170046036151919,0.170621488050911,0.172432469027148,0.170181436598741,0.170621488050911,0.170756888497732,0.170215286710446,0.166000947803128,0.170926139056259,0.171535441066956,0.169504434364633,0.173160246428813,0.173532597657572,0.169335183806107,0.17351567260172,0.169639834811455,0.171653916457924,0.178610114413378,0.174328075282648,0.170841513776995,0.170519937715794,0.168150429896419,0.172787895200054,0.168895132353937,0.172432469027148,0.172263218468621,0.173278721819782,0.172838670367612,0.171010764335522,0.166779500372351,0.171603141290366,0.173871098774626,0.169301333694401,0.167050301265994,0.171518516011103,0.178068512626092,0.169402884029517,0.172127818021799,0.173837248662921,0.175005077516756,0.143846049691964,0.168167354952271,0.171315415340871,0.173194096540519,0.173227946652224,0.171586216234514,0.166559474646266,0.170858438832848,0.168522781125178,0.175512829192336,0.17282174531176,0.174260375059238,0.182215151309999,0.178779364971904,0.175005077516756,0.16759190305328,0.174937377293345,0.168658181571999,0.172466319138853,0.164240741994449,0.166322523864329,0.170029111096067,0.168082729673008,0.17629138176156,0.175022002572608,0.16872588179541,0.16941980908537,0.170519937715794,0.169927560760951,0.18020106966353,0.170249136822152,0.171518516011103,0.174649651343849,0.170401462324826,0.179896418658182
"CPR_216",0.13865005754519,0.165594746462663,0.155202762169115,0.172787895200054,0.165459346015842,0.13934398483515,0.161701983616546,0.170604562995058,0,0.171873942184009,0.138751607880306,0.145826281226728,0.143727574300995,0.032276081511069,0.160195653645657,0.139868661566583,0.12786879696703,0.0408570848283799,0.158181571999188,0.144472276758513,0.14943131812335,0.142932096675919,0.0663800690542279,0.160500304651005,0.157826145826281,0.149346692844086,0.15655676663733,0.158147721887482,0.144455351702661,0.150954573150091,0.145250829327737,0.0983514995599486,0.115750456976508,0.145893981450139,0.153645657030668,0.149143592173854,0.146266332678898,0.156455216302214,0.154051858371133,0.152190102227337,0.150480671586216,0.145098503825063,0.143846049691964,0.154271884097218,0.142847471396656,0.162920587637939,0.141476541872588,0.0647383386365175,0.144455351702661,0.142204319274254,0.169893710649245,0.148381964660483,0.154999661498883,0.150463746530364,0.129984428948616,0.145657030668201,0.14899126667118,0.160449529483447,0.143795274524406,0.14508157876921,0.140850314806039,0.142221244330106,0.143609098910026,0.142796696229098,0.145470855053822,0.0388768532936159,0.0772628799675039,0.159163225238643,0.141798117933789,0.160178728589804,0.159755602193487,0.180404170333762,0.18367070611333,0.153561031751405,0.138734682824453,0.175563604359894,0.14167964254282,0.158672398618915,0.162920587637939,0.15819849705504,0.153391781192878,0.166525624534561,0.151563875160788,0.144167625753165,0.158536998172094,0.159891002640309,0.147468011644438,0.166965675986731,0.161786608895809,0.141713492654526,0.1689797576332,0.150886872926681,0.150091395301605,0.173938798998037,0.168742806851263,0.155236612280821,0.157081443368763,0.144015300250491,0.165713221853632,0.152511678288538,0.148534290163158,0.151919301333694,0.160923431047322,0.163394489201814,0.152697853902918,0.163022137973055,0.145470855053822,0.175258953354546,0.0611163766840431,0.141493466928441,0.105747748967572,0.101093358608083,0.157487644709228,0.161194231940965,0.173295646875635,0.168099654728861,0.144116850585607,0.140816464694333,0.165933247579717,0.145166204048473,0.142695145893981,0.155981314738339,0.140325638074606,0.149126667118001,0.146317107846456,0.17307562114955,0.174006499221447,0.170130661431183,0.184449258682554,0.177628461173922,0.171146164782344,0.14873739083339,0.0439035948818631,0.0457145758581003,0.142035068715727,0.14785728792905,0.148314264437073,0.151885451221989,0.151191523932029,0.175885180421095,0.171230790061607,0.157115293480468,0.144573827093629,0.143033647011035,0.140782614582628,0.179490217317717,0.145843206282581,0.143016721955182,0.142796696229098,0.082831223343037,0.179524067429423
"CPR_217",0.172449394083,0.173938798998037,0.17099383927967,0.180658046171552,0.175868255365243,0.170096811319477,0.176477557375939,0.17332949698734,0.171873942184009,0,0.172144743077652,0.174006499221447,0.176612957822761,0.173177171484666,0.17219551824521,0.126108591158351,0.174801976846524,0.174345000338501,0.171163089838196,0.173160246428813,0.169826010425834,0.173820323607068,0.17099383927967,0.17534357863381,0.171146164782344,0.17420959989168,0.17282174531176,0.174108049556564,0.173177171484666,0.173955724053889,0.169470584252928,0.172398618915442,0.173447972378309,0.172720194976643,0.173397197210751,0.170689188274321,0.171569291178661,0.175428203913073,0.174480400785323,0.173667998104394,0.174361925394354,0.171992417574978,0.172669419809085,0.173752623383657,0.175360503689662,0.176409857152529,0.167016451154289,0.1538487577009,0.170875363888701,0.172483244194706,0.0291957213458804,0.172432469027148,0.175766705030127,0.171298490285018,0.173431047322456,0.170756888497732,0.170503012659942,0.173904948886331,0.168488931013472,0.172720194976643,0.170519937715794,0.170909214000406,0.170943064112112,0.171857017128157,0.171857017128157,0.173447972378309,0.171044614447228,0.174514250897028,0.173261796763929,0.171027689391375,0.17541127885722,0.180725746394963,0.186090989100264,0.172872520479318,0.17219551824521,0.177950037235123,0.171180014894049,0.171518516011103,0.173058696093697,0.173752623383657,0.169487509308781,0.173109471261255,0.171620066346219,0.168590481348588,0.173786473495363,0.175817480197685,0.17219551824521,0.17818698801706,0.17541127885722,0.171383115564281,0.178914765418726,0.172398618915442,0.172923295646876,0.181098097623722,0.1774930607271,0.172754045088349,0.169826010425834,0.169758310202424,0.179439442150159,0.172500169250559,0.174581951120439,0.174480400785323,0.174615801232144,0.174412700561912,0.175732854918421,0.174954302349198,0.175952880644506,0.175309728522104,0.172974070814434,0.171095389614786,0.171535441066956,0.185193961140072,0.171958567463273,0.174006499221447,0.17818698801706,0.177594611062216,0.173549522713425,0.169876785593392,0.173904948886331,0.174158824724122,0.173651073048541,0.175191253131135,0.169149008191727,0.174869677069934,0.171450815787692,0.18070882133911,0.177882337011712,0.177188409721752,0.182198226254147,0.17950714237357,0.176274456705707,0.170587637939205,0.176342156929118,0.170841513776995,0.174785051790671,0.171569291178661,0.16853970618103,0.17282174531176,0.1689797576332,0.176308306817412,0.176460632320087,0.175208178186988,0.172990995870286,0.173211021596371,0.172212443301063,0.177882337011712,0.172330918692032,0.174345000338501,0.175715929862569,0.171535441066956,0.183129104326044
