mlg,type,source,hybrid,A,B,C,D,domSym,K,daysDiseased,daysLesion,propDiseased,propHealthy,Rgroup,Rgroup2reps,Rgroup3reps,Rgroup5clusters,color,color2
1,SR,H,N,0.170537037,0.03798151,0.245917823,0.54556363,Durusdinium,,0.0719697,0.26704545,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
2,COO,Jaap,Y,0.083659589,0.753268747,0.037922551,0.125149113,Breviolum,2,0.09280303,0.16287879,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
3,unk,unk,unk,0.091165131,0.013287286,0.090343421,0.805204162,Durusdinium,2,0.37268519,0.37268519,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
4,COO,KWN,N,0.043209676,0.006036646,0.026892319,0.923861359,Durusdinium,2,0.10227273,0.16287879,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
6,unk,unk,unk,0.05760479,0.00979357,0.051062674,0.881538966,Durusdinium,5,0.06965488,0.18539562,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
7,unk,unk,unk,0.061493698,0.010195884,0.0498675,0.878442917,Durusdinium,2,0.13026094,0.14604377,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
10,COO,KWN,N,0.059547545,0.01520419,0.055406401,0.869841864,Durusdinium,5,0.09577922,0.45156926,1,0,Susceptible,Susceptible,Highly Susceptible,Susceptible,#fff2cc,#fff2cc
11,unk,unk,unk,0.029650816,0.005086438,0.029994158,0.935268588,Durusdinium,2,0.52777778,0.72222222,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
13,unk,unk,unk,0.103478284,0.013739088,0.106235343,0.776547284,Durusdinium,5,0.42824074,0.07638889,1,0,Highly Susceptible,Highly Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
14,unk,unk,unk,0.031837722,0.004794311,0.026638299,0.936729668,Durusdinium,3,0.18181818,0.09090909,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
15,SR,H,N,0.062732688,0.015014562,0.110648746,0.811604004,Durusdinium,1,0.12662338,0.73701299,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
17,SR,unk,N,0.020163566,0.003724409,0.021722572,0.954389452,Durusdinium,1,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
18,COO,KWN,N,0.045339628,0.00689331,0.053052048,0.894715014,Durusdinium,5,0.15286797,0.28436147,1,0,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
19,SR,unk,N,0.030682511,0.006562578,0.062866275,0.899888636,Durusdinium,4,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
20,SR,H,N,0.149628685,0.035203894,0.399522941,0.41564448,Durusdinium,1,0.07142857,0.71428571,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
21,SR,H,N,0.062974014,0.011219916,0.110679688,0.815126382,Durusdinium,4,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
22,SR,H,N,0.078021985,0.012957972,0.069291952,0.839728091,Durusdinium,1,0.07142857,0.57142857,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
23,COO,KWN,N,0.073612626,0.012391119,0.197870468,0.716125787,Durusdinium,2,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
