,CPR_201,CPR_202,CPR_203,CPR_204,CPR_205,CPR_206,CPR_207,CPR_208,CPR_209,CPR_210,CPR_210_2,CPR_210_3,CPR_211,CPR_212,CPR_213,CPR_214,CPR_215,CPR_216,CPR_217,CPR_218,CPR_219,CPR_220,CPR_221,CPR_222,CPR_223,CPR_224,CPR_225,CPR_226,CPR_226_2,CPR_226_3,CPR_227,CPR_228,CPR_229,CPR_230,CPR_231,CPR_232,CPR_234,CPR_235,CPR_236,CPR_237,CPR_238,CPR_239,CPR_240,CPR_241,CPR_243,CPR_244,CPR_245,CPR_246,CPR_247,CPR_248,CPR_249,CPR_250,CPR_251,CPR_252,CPR_253,CPR_254,CPR_255,CPR_256,CPR_257,CPR_258,CPR_259,CPR_260,CPR_261,CPR_262,CPR_263,CPR_264,CPR_265,CPR_266,CPR_267,CPR_268,CPR_269,CPR_270,CPR_271,CPR_272,CPR_273,CPR_274,CPR_275,CPR_276,CPR_277,CPR_278,CPR_279,CPR_280,CPR_282,CPR_283,CPR_284,CPR_285,CPR_286,CPR_287,CPR_288,CPR_289,CPR_290,CPR_291,CPR_292,CPR_293,CPR_294,CPR_295,CPR_319,CPR_320,CPR_321,CPR_322,CPR_323,CPR_324,CPR_325,CPR_326,CPR_327,CPR_328,CPR_329,CPR_330,CPR_331,CPR_332,CPR_334,CPR_335,CPR_336,CPR_337,CPR_338,CPR_339,CPR_340,CPR_341,CPR_342,CPR_343,CPR_344,CPR_345,CPR_346,CPR_347,CPR_348,CPR_349,CPR_350,CPR_351,CPR_352,CPR_353,CPR_354,CPR_355,CPR_356,CPR_357,CPR_359,CPR_361,CPR_362,CPR_363,CPR_365,CPR_366,CPR_367,CPR_368,CPR_369,CPR_371,CPR_372,CPR_373,CPR_374,CPR_375,CPR_375_2,CPR_375_3,CPR_376,CPR_376_2,CPR_376_3,CPR_377,CPR_378,CPR_379,CPR_380,CPR_381,CPR_382,CPR_383,CPR_384,CPR_385,CPR_387,CPR_388,CPR_389,CPR_390,CPR_391,CPR_P106,CPR_P117,CPR_P1D12,CPR_P1D7,CPR_P1E1,CPR_P1E2,CPR_P1G3,CPR_P201,CPR_P23A,CPR_P29B,CPR_P2A8,CPR_P2H5,CPR_P62,CPR_P67,CPR_P89,CPR_sperm,CPR_sperm_2,CPR_sperm_3
CPR_201,0,0.022273374,0.023508903,0.164646943,0.16219281,0.170452237,0.165510121,0.022899601,0.173346422,0.17109539,0.163005213,0.163834541,0.159704827,0.166491774,0.169775235,0.172923296,0.021376346,0.041787963,0.175377429,0.162463611,0.161211157,0.167371877,0.033071559,0.166847201,0.161380408,0.151987002,0.042363415,0.167811929,0.168590481,0.169521359,0.160957281,0.167033376,0.168201205,0.160381829,0.163326789,0.077669081,0.168624331,0.166474849,0.165933248,0.157826146,0.16527317,0.165747072,0.165459346,0.161194232,0.162463611,0.166187123,0.116579785,0.136517501,0.16958906,0.169081308,0.165662447,0.164731569,0.164494618,0.162463611,0.16212511,0.163986866,0.163885316,0.16507007,0.163022138,0.163225239,0.165391646,0.164037641,0.164223817,0.166796425,0.161735834,0.071457586,0.161701984,0.165476271,0.170824589,0.161194232,0.162734412,0.162734412,0.152850179,0.161245007,0.161600433,0.16527317,0.022205673,0.160568005,0.163614515,0.161752759,0.162819037,0.162649787,0.162446686,0.163292939,0.026369237,0.089059644,0.023390427,0.167134927,0.164562318,0.173803399,0.16500237,0.164460768,0.165290095,0.180251845,0.184026132,0.163360639,0.161600433,0.176765283,0.162378986,0.164071491,0.167879629,0.165933248,0.167490353,0.169453659,0.164342292,0.160297204,0.166237899,0.16352989,0.165188545,0.170062961,0.168742807,0.162277436,0.171840092,0.165120845,0.167202627,0.176663733,0.170756888,0.166999526,0.164714644,0.161194232,0.169893711,0.16359759,0.164257667,0.163851466,0.17126464,0.16821813,0.164122267,0.166661025,0.164037641,0.175445129,0.075993501,0.161245007,0.12573624,0.10002708,0.16369914,0.165747072,0.173143321,0.168725882,0.166881051,0.161245007,0.168387381,0.166914901,0.164883894,0.164630018,0.161972785,0.162886738,0.162175885,0.174446551,0.171501591,0.173820324,0.172584795,0.176257532,0.176460632,0.168201205,0.171941642,0.183010629,0.179304042,0.173634148,0.160906506,0.021376346,0.038419877,0.165374721,0.15911245,0.16048338,0.164291517,0.163157538,0.175665155,0.175377429,0.169487509,0.020902444,0.165290095,0.164934669,0.165476271,0.165019295,0.168861282,0.163360639,0.162802112,0.177916187,0.163259089,0.165950173,0.16654255,0.101296459,0.178457789,0.161278857,0.162074335
CPR_202,0.022273374,0,0.025269108,0.17270327,0.174345,0.175428204,0.171569291,0.020360842,0.177239185,0.174548101,0.1742773,0.175580529,0.171281565,0.173261797,0.173600298,0.175902105,0.017246632,0.046459278,0.176663733,0.174581951,0.172381694,0.177493061,0.038995329,0.173989574,0.173431047,0.164308442,0.051130594,0.173600298,0.174852752,0.175952881,0.164646943,0.179016316,0.171857017,0.170164512,0.174666576,0.088602667,0.174480401,0.174361925,0.173380272,0.166728725,0.172550944,0.173431047,0.177137635,0.170943064,0.173329497,0.172957146,0.128528874,0.14843274,0.175546679,0.174801977,0.172906371,0.176274457,0.174040349,0.172584795,0.173024846,0.173092546,0.173871099,0.175529754,0.173041771,0.174226525,0.177273035,0.172974071,0.176003656,0.174446551,0.173075621,0.08171417,0.173109471,0.177526911,0.174751202,0.171146165,0.171941642,0.171738542,0.16503622,0.171400041,0.172195518,0.172787895,0.022713425,0.171941642,0.175258953,0.173329497,0.174632726,0.174260375,0.174700427,0.174835827,0.030262,0.100433281,0.022814975,0.173363347,0.171670842,0.175969806,0.176782208,0.171569291,0.173414122,0.181436599,0.184703135,0.17273712,0.172466319,0.179100941,0.174260375,0.173481822,0.175326654,0.173583373,0.17564823,0.174903527,0.175072778,0.171366191,0.174666576,0.170604563,0.176155981,0.175512829,0.176629883,0.174057274,0.177628461,0.174226525,0.175699005,0.182350552,0.176409857,0.174514251,0.173380272,0.17283867,0.176731433,0.173583373,0.175225103,0.174615801,0.177019159,0.175969806,0.1742773,0.173464897,0.175445129,0.177069934,0.087299438,0.172618645,0.13782073,0.107000203,0.171112315,0.172787895,0.178186988,0.175597454,0.17872859,0.173261797,0.174920452,0.178999391,0.177408435,0.173464897,0.173481822,0.173752623,0.173346422,0.178203913,0.1741419,0.176088281,0.176680658,0.177273035,0.177577686,0.173921874,0.176951459,0.183789182,0.180759597,0.176985309,0.170418387,0.01656963,0.045291449,0.177120709,0.169639835,0.170130661,0.172990996,0.17280482,0.178237763,0.180116444,0.18167355,0.022357999,0.172263218,0.175935956,0.177019159,0.176460632,0.181013472,0.17283867,0.174548101,0.179134791,0.173989574,0.177594611,0.17893169,0.113313249,0.179168641,0.172787895,0.172906371
CPR_203,0.023508903,0.025269108,0,0.166593325,0.161837384,0.170909214,0.167524203,0.022950376,0.173532598,0.172026268,0.162920588,0.163749915,0.1590786,0.164579243,0.170503013,0.172330919,0.025184483,0.043328143,0.177526911,0.162108185,0.159670977,0.167558053,0.032479182,0.165747072,0.161092682,0.151496175,0.041534087,0.168438156,0.169149008,0.169233633,0.163648365,0.166440999,0.169572135,0.161008056,0.162666712,0.077279805,0.168573556,0.167710378,0.166424074,0.158655474,0.166474849,0.165967098,0.16500237,0.16219281,0.162615937,0.167016451,0.115919708,0.136195924,0.170282987,0.168861282,0.164393067,0.164071491,0.162649787,0.161126532,0.160821881,0.162920588,0.162040485,0.163868391,0.161177307,0.161888159,0.16513777,0.161922009,0.16349604,0.165831697,0.160601855,0.072760815,0.161278857,0.164816194,0.16982601,0.159620202,0.161431183,0.16352989,0.152291653,0.161600433,0.160466455,0.164680793,0.01975154,0.160111028,0.162751337,0.161261932,0.162632862,0.16209126,0.16198971,0.162497461,0.028281768,0.089652021,0.024084354,0.168235055,0.166102498,0.174734277,0.164748494,0.164985444,0.165510121,0.180742671,0.184280008,0.164291517,0.161414258,0.177797712,0.161854309,0.164223817,0.167151852,0.164393067,0.168996683,0.169944486,0.165476271,0.159806377,0.166017873,0.163411414,0.164054566,0.169369034,0.168827432,0.161888159,0.170604563,0.165747072,0.167422652,0.17718841,0.170232212,0.167795004,0.166017873,0.160737255,0.167304177,0.166051723,0.163292939,0.164579243,0.171687767,0.170299912,0.163157538,0.167253402,0.163580665,0.176951459,0.075062623,0.160788031,0.125110013,0.0984869,0.165307021,0.167591903,0.173904949,0.169182858,0.166424074,0.160889581,0.169385959,0.166356374,0.164765419,0.163055988,0.161245007,0.162429761,0.161143457,0.172906371,0.173380272,0.174649651,0.17260172,0.17725611,0.17735766,0.170113736,0.17273712,0.183433755,0.179659468,0.174734277,0.161329632,0.024609031,0.040670909,0.165256245,0.159230925,0.161312707,0.165560896,0.164697719,0.177746937,0.177493061,0.168996683,0.020140816,0.166119423,0.165696297,0.165188545,0.164630018,0.168302755,0.164562318,0.162412836,0.179422517,0.163919166,0.165188545,0.166390224,0.100568682,0.179693318,0.161024981,0.162294361
CPR_204,0.164646943,0.17270327,0.166593325,0,0.150311421,0.165679372,0.024930607,0.166762575,0.168472006,0.02885722,0.147738813,0.148872791,0.14555548,0.031294428,0.02875567,0.166491774,0.16831968,0.155896689,0.171349265,0.147400311,0.153256381,0.153561032,0.157267619,0.159907928,0.150683772,0.153679507,0.155795139,0.160060253,0.161177307,0.159874078,0.166102498,0.13186311,0.02724934,0.151208449,0.102328888,0.151191524,0.160568005,0.162954438,0.156082865,0.151665425,0.026961614,0.027672466,0.10297204,0.150294496,0.146757159,0.157859996,0.153036355,0.151073049,0.162243585,0.159907928,0.159738677,0.151970077,0.154339584,0.152850179,0.150616072,0.158063097,0.155828989,0.156742942,0.15466116,0.152190102,0.152054702,0.156895268,0.15305328,0.161312707,0.139022409,0.148838941,0.149685194,0.149634419,0.166593325,0.152833254,0.158841649,0.037455149,0.153459481,0.058543768,0.149312843,0.160060253,0.165425496,0.148246564,0.102142712,0.148449665,0.14856814,0.150125245,0.152156252,0.150463747,0.159941778,0.14863584,0.1666441,0.158638549,0.158401598,0.168827432,0.151631575,0.157859996,0.160043328,0.176494482,0.182232076,0.155135062,0.149955995,0.174124975,0.152460903,0.155304313,0.160534155,0.159535576,0.158723174,0.164951594,0.152765554,0.150412971,0.159738677,0.160347979,0.151343849,0.167354952,0.159501726,0.150937648,0.167574978,0.157233769,0.155490488,0.171180015,0.166762575,0.157724595,0.157199919,0.149786744,0.163191389,0.15462731,0.152410128,0.15603209,0.166017873,0.162903663,0.157995396,0.161245007,0.153273306,0.17273712,0.150768398,0.103293616,0.151496175,0.169182858,0.157369169,0.159552502,0.168133505,0.166322524,0.150565297,0.148855866,0.164156117,0.152765554,0.152427053,0.160906506,0.148940492,0.154390359,0.153137905,0.168692032,0.166999526,0.170029111,0.168996683,0.034324013,0.033714711,0.161701984,0.167371877,0.179625618,0.174700427,0.169978336,0.151225374,0.169809085,0.154830411,0.152071627,0.148889716,0.152088552,0.15288403,0.153645657,0.169842935,0.16661025,0.155033512,0.166897976,0.156861418,0.148585065,0.150379121,0.151242299,0.154136484,0.154728861,0.150886873,0.175546679,0.15154695,0.119169318,0.153510257,0.150345271,0.177171485,0.147468012,0.14856814
CPR_205,0.16219281,0.174345,0.161837384,0.150311421,0,0.159975628,0.151682351,0.165696297,0.174514251,0.167185702,0.078227608,0.050927493,0.074690271,0.156252116,0.162311286,0.171010764,0.169047458,0.138650058,0.172449394,0.041771038,0.100602532,0.105138447,0.14398145,0.155388938,0.067530973,0.040535509,0.134351093,0.15763997,0.154221109,0.151428475,0.175631305,0.046239253,0.165340871,0.126040891,0.071914562,0.102091937,0.159264776,0.157724595,0.151428475,0.140308713,0.150700697,0.152596304,0.070018956,0.133047864,0.108117257,0.154931961,0.067141697,0.054380204,0.162632862,0.1589432,0.153662582,0.080461716,0.122198903,0.113600975,0.117087536,0.146977185,0.135975899,0.123891409,0.122283529,0.089753571,0.052247647,0.135383522,0.074300995,0.155812064,0.072557714,0.117476813,0.092766231,0.040890935,0.169250559,0.123637533,0.140579514,0.134147993,0.039029179,0.111265317,0.119033918,0.15141155,0.16212511,0.089093494,0.074233295,0.073353192,0.066227744,0.088433417,0.061759529,0.093984835,0.152342428,0.09229233,0.163648365,0.159061675,0.156184415,0.173143321,0.0607271,0.154999661,0.144929253,0.17424345,0.179134791,0.127090244,0.076348927,0.170723038,0.083829802,0.136771376,0.146164782,0.152003927,0.145741656,0.157521495,0.125600839,0.097792973,0.148957417,0.149668269,0.092867781,0.159552502,0.144861553,0.07133911,0.161092682,0.13802383,0.135332747,0.177933112,0.161498883,0.145183129,0.13792228,0.094898788,0.152207027,0.127056394,0.114210277,0.11823844,0.156150565,0.157267619,0.132218536,0.158486223,0.108574233,0.176240607,0.098859251,0.072168438,0.061099452,0.173431047,0.147400311,0.147518787,0.167710378,0.160855731,0.054718706,0.064044411,0.157199919,0.050927493,0.045206824,0.143219823,0.069578905,0.106780177,0.100280956,0.165290095,0.17287252,0.176477557,0.158757024,0.176951459,0.176071356,0.162328211,0.162514386,0.174260375,0.172855595,0.161600433,0.122571254,0.171112315,0.142322795,0.055751134,0.123620608,0.120523323,0.128698125,0.125973191,0.164173042,0.158164647,0.028281768,0.164105342,0.156573692,0.09708212,0.046814704,0.075705775,0.028907995,0.125363889,0.071119085,0.169470584,0.115141155,0.055141832,0.046256178,0.07873536,0.176274457,0.085166881,0.105900074
CPR_206,0.170452237,0.175428204,0.170909214,0.165679372,0.159975628,0,0.16674565,0.169318259,0.173058696,0.170401462,0.144099926,0.15606594,0.133691016,0.168099655,0.168336606,0.169216708,0.173346422,0.165594746,0.173938799,0.160077178,0.164206892,0.119118543,0.166559475,0.164630018,0.16366529,0.167981179,0.167456503,0.166000948,0.140545664,0.14083339,0.170486088,0.166982601,0.169470584,0.162328211,0.165780922,0.163428339,0.166881051,0.140156388,0.164494618,0.162480536,0.165459346,0.167524203,0.165950173,0.162700562,0.160246429,0.164409993,0.166017873,0.165679372,0.166525625,0.165340871,0.164731569,0.153273306,0.164139192,0.163902241,0.162649787,0.164173042,0.164917744,0.146672534,0.166627175,0.167236477,0.166999526,0.164799269,0.149008192,0.167591903,0.16219281,0.161481958,0.161922009,0.165290095,0.170943064,0.135823573,0.13320019,0.164545393,0.167591903,0.164646943,0.161888159,0.167558053,0.169775235,0.136822152,0.164105342,0.161058831,0.138836233,0.161888159,0.151293074,0.163343714,0.167981179,0.162632862,0.171636991,0.165594746,0.164613093,0.171518516,0.156387516,0.164308442,0.133724866,0.146554059,0.09687902,0.131998511,0.135823573,0.144353801,0.161312707,0.138734683,0.133944892,0.165814772,0.139580936,0.14103649,0.143744499,0.146841785,0.134029517,0.108168032,0.143135197,0.0682249,0.135485072,0.135891273,0.134181843,0.103902918,0.148026538,0.110368289,0.13942861,0.107880306,0.114938054,0.147163361,0.141544242,0.134537269,0.143727574,0.14836504,0.137059102,0.097149821,0.134046442,0.168505856,0.140224088,0.175969806,0.164426918,0.162243585,0.163428339,0.133318665,0.09256313,0.135806648,0.143439848,0.147755738,0.165713222,0.140918015,0.095965067,0.159687902,0.158604698,0.106560152,0.133521766,0.148415815,0.139682486,0.142610521,0.171620066,0.173667998,0.12720872,0.176477557,0.176646808,0.17126464,0.134351093,0.148195789,0.134232618,0.138277706,0.137465304,0.173380272,0.163546815,0.167253402,0.16055108,0.107863381,0.13347099,0.114294902,0.140241013,0.147468012,0.169199783,0.171518516,0.166728725,0.141967368,0.164240742,0.152545528,0.168268905,0.142932097,0.164917744,0.143372148,0.13792228,0.166847201,0.159349401,0.16349604,0.105561573,0.164274592,0.162700562
CPR_207,0.165510121,0.171569291,0.167524203,0.024930607,0.151682351,0.16674565,0,0.167118001,0.169538284,0.028704895,0.148872791,0.15000677,0.145910907,0.034019362,0.027757092,0.1667118,0.167490353,0.155202762,0.170993839,0.148737391,0.155067362,0.15449191,0.157013743,0.161211157,0.15154695,0.154711936,0.156658317,0.159332476,0.162819037,0.161752759,0.165645522,0.132184686,0.026758513,0.151293074,0.102955115,0.151750051,0.161431183,0.164122267,0.156844493,0.152562453,0.028400244,0.029584998,0.103835218,0.151970077,0.146977185,0.157910771,0.153391781,0.152647079,0.162429761,0.160974206,0.161651208,0.152934805,0.156556767,0.153882608,0.152156252,0.159670977,0.158012321,0.158993975,0.157419944,0.154339584,0.15295173,0.158469298,0.154356509,0.162886738,0.140494889,0.14990522,0.151733126,0.151343849,0.167287252,0.155016587,0.161228082,0.038656828,0.154965811,0.059169995,0.151733126,0.160991131,0.166017873,0.149888295,0.104529145,0.149922145,0.149803669,0.151834676,0.154170334,0.151597725,0.160601855,0.149702119,0.166864126,0.159772527,0.159027825,0.169453659,0.153104055,0.158553923,0.161651208,0.176917609,0.183095254,0.155456638,0.150853023,0.174480401,0.153561032,0.157047593,0.161566583,0.161143457,0.1590109,0.166525625,0.153899533,0.152257802,0.161109607,0.163039063,0.152850179,0.168725882,0.160568005,0.152274728,0.168607406,0.158401598,0.156692167,0.173126396,0.167558053,0.158012321,0.158401598,0.150886873,0.165408571,0.155761289,0.153611807,0.157369169,0.165628597,0.16366529,0.159907928,0.162277436,0.155050437,0.172990996,0.151191524,0.104461445,0.152630154,0.169707535,0.158232347,0.160347979,0.168996683,0.167388802,0.151530025,0.150260646,0.166102498,0.154136484,0.153594882,0.162480536,0.150277571,0.156404441,0.155355088,0.170096811,0.16674565,0.169707535,0.169961411,0.033359285,0.032242231,0.162869812,0.168099655,0.179574843,0.175529754,0.170604563,0.152427053,0.169318259,0.155388938,0.153205606,0.150023695,0.15291788,0.152257802,0.154001083,0.170773814,0.167236477,0.15609979,0.167558053,0.158672399,0.149752894,0.151309999,0.151970077,0.155168912,0.154711936,0.152291653,0.175529754,0.152782479,0.119558595,0.154542685,0.150599147,0.178339314,0.149143592,0.148923566
CPR_208,0.022899601,0.020360842,0.022950376,0.166762575,0.165696297,0.169318259,0.167118001,0,0.173092546,0.170198362,0.166440999,0.167574978,0.163039063,0.167659603,0.168370456,0.172263218,0.019903866,0.039130729,0.175022003,0.166068648,0.164511543,0.168979758,0.031429829,0.166999526,0.165086995,0.155761289,0.042820391,0.166068648,0.170875364,0.171603141,0.161515808,0.170536863,0.168861282,0.162328211,0.166694875,0.080495566,0.16982601,0.168658182,0.167067226,0.16051723,0.166982601,0.167896554,0.169165933,0.164257667,0.164951594,0.16681335,0.120049421,0.140359488,0.170858439,0.169876786,0.167371877,0.167524203,0.1667118,0.164308442,0.164917744,0.166305599,0.166237899,0.167456503,0.164799269,0.166085573,0.169199783,0.165543971,0.167185702,0.168472006,0.164494618,0.07435177,0.16510392,0.169318259,0.171281565,0.163309864,0.164409993,0.165154695,0.156624467,0.164240742,0.164223817,0.16667795,0.01954844,0.16359759,0.166881051,0.165290095,0.166322524,0.165814772,0.166525625,0.165780922,0.027740167,0.09246158,0.023441202,0.168438156,0.16661025,0.174700427,0.168201205,0.165086995,0.167371877,0.18043802,0.183772256,0.16517162,0.164731569,0.177730012,0.165340871,0.167405727,0.169859861,0.165510121,0.167710378,0.169876786,0.167642678,0.163292939,0.166627175,0.16513777,0.167845779,0.169809085,0.170519938,0.165645522,0.17287252,0.166220974,0.167896554,0.177019159,0.171112315,0.167219552,0.167101076,0.164325367,0.170723038,0.166457924,0.167084151,0.167185702,0.169961411,0.170672263,0.166000948,0.167558053,0.166661025,0.176545258,0.079090786,0.164511543,0.129476677,0.100382506,0.165442421,0.167558053,0.175529754,0.171010764,0.170452237,0.164748494,0.170536863,0.170689188,0.168861282,0.165696297,0.165307021,0.166119423,0.164968519,0.174598876,0.171518516,0.173498748,0.173143321,0.176883759,0.176139056,0.170249137,0.173583373,0.183907657,0.178813215,0.174429626,0.163022138,0.020513168,0.040400108,0.168878207,0.162446686,0.163377564,0.166339449,0.165543971,0.177442286,0.176477557,0.173363347,0.022002573,0.166424074,0.168302755,0.169115158,0.16811658,0.17266942,0.16520547,0.166271749,0.179016316,0.165543971,0.169385959,0.170350687,0.104935346,0.179456367,0.165188545,0.165374721
CPR_209,0.173346422,0.177239185,0.173532598,0.168472006,0.174514251,0.173058696,0.169538284,0.173092546,0,0.170519938,0.17106154,0.173414122,0.168675107,0.168928982,0.169470584,0.172144743,0.176139056,0.172787895,0.180658046,0.172584795,0.169572135,0.172754045,0.171112315,0.170096811,0.172313994,0.176562183,0.172043193,0.170621488,0.173938799,0.173481822,0.173380272,0.176037506,0.170435312,0.168065805,0.174801977,0.170215287,0.172178593,0.171789317,0.16958906,0.169572135,0.168387381,0.169267484,0.173481822,0.170841514,0.166728725,0.169132083,0.173684923,0.174531176,0.17283867,0.170706113,0.169149008,0.173126396,0.169165933,0.169944486,0.168996683,0.167879629,0.16821813,0.172449394,0.170232212,0.171857017,0.17581748,0.168844357,0.17417575,0.163580665,0.169081308,0.167693453,0.169487509,0.175258953,0.176206756,0.169521359,0.170418387,0.168658182,0.175800555,0.166830276,0.169250559,0.17119694,0.172432469,0.170147586,0.172821745,0.170486088,0.170706113,0.171315415,0.171857017,0.17270327,0.172060118,0.16969061,0.17561438,0.170756888,0.168861282,0.175597454,0.175258953,0.170113736,0.171857017,0.179134791,0.183619931,0.171247715,0.170807664,0.179507142,0.17266942,0.171687767,0.171603141,0.171890867,0.17270327,0.172060118,0.17273712,0.168624331,0.172466319,0.171349265,0.171010764,0.172432469,0.16979216,0.173143321,0.175597454,0.170909214,0.173431047,0.179067091,0.173126396,0.170147586,0.170333762,0.171653916,0.174497326,0.171010764,0.172821745,0.172246293,0.174852752,0.173904949,0.17133234,0.170384537,0.172060118,0.178017737,0.171281565,0.170012186,0.172449394,0.17893169,0.170638413,0.170993839,0.176596033,0.175022003,0.174124975,0.170892289,0.171569291,0.174700427,0.176731433,0.171366191,0.170706113,0.172195518,0.170266062,0.176240607,0.17424345,0.176088281,0.175766705,0.176088281,0.17578363,0.173617223,0.175800555,0.183552231,0.181199648,0.175732855,0.167371877,0.176748358,0.170266062,0.174785052,0.167845779,0.168607406,0.171603141,0.171247715,0.176037506,0.176223682,0.179202491,0.175089703,0.170706113,0.170079886,0.173803399,0.173109471,0.178203913,0.171823167,0.172652495,0.179710243,0.16958906,0.175191253,0.177273035,0.170824589,0.179608693,0.172313994,0.167591903
CPR_210,0.17109539,0.174548101,0.172026268,0.02885722,0.167185702,0.170401462,0.028704895,0.170198362,0.170519938,0,0.162852887,0.16503622,0.160838806,0.025996886,0.018989913,0.167930404,0.172398619,0.165459346,0.175868255,0.164206892,0.165763997,0.167693453,0.165510121,0.16520547,0.166204048,0.170181437,0.16661025,0.165154695,0.169081308,0.167981179,0.169199783,0.146977185,0.021545596,0.163885316,0.115987408,0.164748494,0.167998104,0.170723038,0.164731569,0.163936091,0.029584998,0.028230993,0.117307562,0.163851466,0.159874078,0.165323946,0.16811658,0.167202627,0.16825198,0.166424074,0.166085573,0.166982601,0.165053145,0.164951594,0.163259089,0.166982601,0.166271749,0.167659603,0.165984023,0.165848622,0.168488931,0.164528468,0.167761154,0.168607406,0.154779636,0.162971363,0.163580665,0.165730147,0.171620066,0.16517162,0.168404306,0.045156049,0.169859861,0.070949834,0.161651208,0.168031955,0.170079886,0.163292939,0.113025523,0.164477693,0.164731569,0.164663868,0.167405727,0.163783765,0.168928982,0.163783765,0.172178593,0.166204048,0.167625753,0.171247715,0.168031955,0.166136348,0.169741385,0.179727168,0.18488931,0.167473428,0.165340871,0.177493061,0.167541128,0.166796425,0.16982601,0.166999526,0.167879629,0.169572135,0.166051723,0.165019295,0.16808273,0.170993839,0.165747072,0.172821745,0.167947329,0.167134927,0.17280482,0.168624331,0.166508699,0.178440864,0.171349265,0.16674565,0.169199783,0.163411414,0.169572135,0.167845779,0.164883894,0.169284409,0.171010764,0.173583373,0.168708957,0.167388802,0.166864126,0.175597454,0.164528468,0.116884436,0.167354952,0.175563604,0.167371877,0.168708957,0.173329497,0.173211022,0.166694875,0.164613093,0.170773814,0.168996683,0.168455081,0.170435312,0.16510392,0.167473428,0.166593325,0.17280482,0.169961411,0.172618645,0.172974071,0.019954641,0.018499086,0.169098233,0.173752623,0.181504299,0.176680658,0.174632726,0.164037641,0.173312572,0.16503622,0.168539706,0.162412836,0.165814772,0.165425496,0.167236477,0.173955724,0.171772392,0.171535441,0.17263557,0.165442421,0.163868391,0.16654255,0.166762575,0.170706113,0.167947329,0.16667795,0.178847065,0.165780922,0.134960395,0.169842935,0.165323946,0.179185566,0.162988288,0.163140613
