"","Sample","Seq","PutGeno","GenoRep","Reps","MLG_wgs$contracted"
"1","s001","wgs","15-353","15-353","no",1
"2","s002","wgs","OF100","OF100","no",2
"3","s003","wgs","GB17","GB17","no",3
"4","s004","wgs","F32","F32","no",4
"5","s005","wgs","GB1","GB1_wgs_1","yes",114
"6","s006","wgs","GB16","GB16","no",6
"7","s007","wgs","GB9","GB9","no",108
"8","s008","wgs","M2-AE23","M2-AE23","no",8
"9","s009","wgs","OF689","OF689","no",9
"10","s010","wgs","OF75","OF75","no",114
"11","s011","wgs","M8","M8","no",11
"12","s012","wgs","GB19","GB19","no",108
"13","s013","wgs","M6","M6","no",114
"14","s014","wgs","GB30","GB30","no",14
"15","s015","wgs","S509","S509","no",15
"16","s016","wgs","OF656","OF656","no",114
"17","s017","wgs","OF758","OF758","no",17
"18","s018","wgs","OF1","OF1","no",114
"19","s019","wgs","S31","S31","no",19
"20","s020","wgs","15-71","15-71","no",20
"21","s021","wgs","OF232","OF232","no",21
"22","s022","wgs","OF434","OF434","no",119
"23","s023","wgs","OF22","OF22","no",23
"24","s024","wgs","15-350","15-350","no",24
"25","s025","wgs","OF701","OF701","no",25
"26","s026","wgs","OF684","OF684","no",26
"27","s027","wgs","OF5","OF5","no",4
"28","s028","wgs","OF793","OF793","no",28
"29","s029","wgs","15-358","15-358","no",29
"30","s030","wgs","OF592","OF687","no",30
"31","s031","wgs","15-431","15-431","no",31
"32","s032","wgs","OF566","OF662","no",32
"33","s033","wgs","OF569","OF677","no",33
"34","s034","wgs","OF32","OF32","no",34
"35","s035","wgs","OF745","OF745","no",35
"36","s036","wgs","GB29","GB29","no",36
"37","s037","wgs","OF680","OF680","no",37
"38","s038","wgs","OF705","OF705","no",38
"39","s039","wgs","GB6","GB6","no",39
"40","s040","wgs","OF125","OF125","no",114
"41","s041","wgs","AE5","AE5","no",39
"42","s042","wgs","GB8","GB8","no",42
"43","s043","wgs","GB24","GB24","no",43
"44","s044","wgs","GB7","GB7","no",114
"45","s045","wgs","OF464","OF464","no",45
"46","s046","wgs","OF700","OF700","no",46
"47","s047","wgs","UK 36","UK 36","no",47
"48","s048","wgs","OF263","OF263","no",48
"49","s049","wgs","OF416","OF416","no",49
"50","s050","wgs","OF126","OF126","no",50
"51","s051","wgs","OF649","OF649","no",51
"52","s052","wgs","OF687","OF687","no",52
"53","s053","wgs","OF2","OF2","no",53
"54","s054","wgs","1-OF-4","1-OF-4","no",54
"55","s055","wgs","OF608","OF693","no",11
"56","s056","wgs","OF354","OF354","no",56
"57","s057","wgs","OF76","OF76_wgs_1","yes",57
"58","s058","wgs","OF3","OF3","no",58
"59","s059","wgs","F7","F7","no",59
"60","s060","wgs","S335","S335","no",60
"61","s061","wgs","OF483","OF483","no",61
"62","s062","wgs","GB3","GB3","no",8
"63","s063","wgs","OF46","OF46","no",63
"64","s064","wgs","GB27","GB27","no",64
"65","s065","wgs","M35","M35","no",114
"66","s066","wgs","M14","M14","no",155
"67","s067","wgs","OF97","OF97","no",67
"68","s068","wgs","M36","M36","no",68
"69","s069","wgs","M16","M16","no",69
"70","s070","wgs","M3","M3","no",70
"71","s071","wgs","M17","M17","no",71
"72","s072","wgs","M21","M21","no",11
"73","s073","wgs","M32","M32","no",73
"74","s074","wgs","M26","M26","no",74
"75","s075","wgs","M28","M28","no",114
"76","s076","wgs","OF101","OF101","no",76
"77","s077","wgs","S378","S378","no",77
"78","s078","wgs","GB2","GB2","no",3
"79","s079","wgs","GB31","GB31","no",79
"80","s080","wgs","F-1-A","F-1-A","no",42
"81","s081","wgs","OF23","OF23","no",114
"82","s082","wgs","GB12","GB12","no",114
"83","s083","wgs","AE10","AE10","no",83
"84","s084","wgs","OF56","OF657","no",84
"85","s085","wgs","15-349","15-349","no",85
"86","s086","wgs","OF635","OF635","no",86
"87","s087","wgs","GB13","GB13","no",137
"88","s088","wgs","F12","F12","no",108
"89","s089","wgs","OF554","OF654","no",89
"90","s090","wgs","GB21","GB21","no",90
"91","s091","wgs","GB14","GB14_wgs_1","yes",91
"92","s092","wgs","OF457","OF457","no",92
"93","s093","wgs","GB26","GB26","no",93
"94","s094","wgs","OF200","OF200","no",94
"95","s095","wgs","OF509","OF509","no",95
"96","s096","wgs","OF453","OF453","no",96
"97","s097","wgs","15-155","15-155","no",97
"98","s098","wgs","OF677","OF677","no",98
"99","s099","wgs","OF373","OF373","no",99
"100","s100","wgs","15-111","15-111","no",100
"101","s101","wgs","OF602","OF689","no",101
"102","s102","wgs","OF679","OF679","no",114
"103","s103","wgs","OF696","OF696","no",103
"104","s104","wgs","OF628","OF628","no",119
"105","s105","wgs","GB28","GB28","no",105
"106","s106","wgs","GB25","GB25","no",106
"107","s107","wgs","GB23","GB23","no",39
"108","s108","wgs","GB15","GB15","no",108
"109","s109","wgs","M27","M27","no",114
"110","s110","wgs","M18","M18","no",110
"111","s111","wgs","M29","M29","no",114
"112","s112","wgs","S503","S503","no",114
"113","s113","wgs","S373","S373","no",113
"114","s114","wgs","S575","S575","no",114
"115","s115","wgs","AE3","AE3","no",115
"116","s116","wgs","M13","M13","no",116
"117","s117","wgs","M20","M20","no",114
"118","s118","wgs","OF96","OF96","no",118
"119","s119","wgs","S439","S439","no",119
"120","s120","wgs","UK25","UK25","no",24
"121","s121","wgs","OF11","OF11","no",121
"122","s122","wgs","OF662","OF662","no",122
"123","s123","wgs","M4","M4","no",123
"124","s124","wgs","1-OF-2","1-OF-2","no",124
"125","s125","wgs","OF443","OF443","no",125
"126","s126","wgs","OF98","OF98","no",126
"127","s127","wgs","GB4","GB4","no",39
"128","s128","wgs","M22","M22","no",128
"129","s129","wgs","OF682","OF682","no",129
"130","s130","wgs","GB20","GB20","no",39
"131","s131","wgs","OF683","OF683","no",131
"132","s132","wgs","OF201","OF201","no",132
"133","s133","wgs","M2","M2","no",11
"134","s134","wgs","OF99","OF99","no",134
"135","s135","wgs","GB10","GB10","no",3
"136","s136","wgs","GB5","GB5","no",136
"137","s137","wgs","OF57","OF679","no",137
"138","s138","wgs","OF512","OF512","no",138
"139","s139","wgs","M31","M31","no",139
"140","s140","wgs","OF21","OF21","no",114
"141","s141","wgs","OF132","OF132","no",114
"142","s142","wgs","OF393","OF393_wgs_1","yes",142
"143","s143","wgs","OF759","OF759","no",143
"144","s144","wgs","OF674","OF674","no",144
"145","s145","wgs","OF693","OF693","no",145
"146","s146","wgs","OF423","OF423","no",146
"147","s147","wgs","OF559","OF656","no",147
"148","s148","wgs","15-10","15-10","no",148
"149","s149","wgs","OF202","OF202","no",149
"150","s150","wgs","OF211","OF211","no",150
"151","s151","wgs","OF58","OF682","no",151
