"","PutGeno","variable","Mean","SEM"
"1","1-OF-2","Symbiodinium",0.0178660002370383,0.0117072992982384
"2","1-OF-2","Breviolum",0.00139910007019277,0.000290802760394467
"3","1-OF-2","Cladocopium",0.090903448430844,0.0856913973655227
"4","1-OF-2","Durusdinium",0.889831451261925,0.0976894994241556
"5","F12","Symbiodinium",0.0327758993934483,0.024295795022933
"6","F12","Breviolum",0.00467263489719559,0.00336800345557785
"7","F12","Cladocopium",0.0900857279470543,0.0354850483086534
"8","F12","Durusdinium",0.872465737762302,0.0078212498301426
"9","GB1","Symbiodinium",0.0873199783692788,0.00194797568010275
"10","GB1","Breviolum",0.0130771744111759,0.000129289647350347
"11","GB1","Cladocopium",0.0923258342494921,0.00408101962834224
"12","GB1","Durusdinium",0.807277012970053,0.00615828495579534
"13","GB14","Symbiodinium",0.113927798446433,0.0115152648055261
"14","GB14","Breviolum",0.0152250256875488,0.000772427215180945
"15","GB14","Cladocopium",0.0752388719270022,0.00393216296890914
"16","GB14","Durusdinium",0.795608303939016,0.0146750005592542
"17","GB7","Symbiodinium",0.0554990776650894,0.0347876863998935
"18","GB7","Breviolum",0.00619071481221985,0.00574046717601994
"19","GB7","Cladocopium",0.119635542821967,0.0467309587538998
"20","GB7","Durusdinium",0.818674664700724,0.00620280517798638
"21","M12","Symbiodinium",0.00906875113163514,0.00167922810259524
"22","M12","Breviolum",0.00186996683610929,0.000360052969428617
"23","M12","Cladocopium",0.0119616691814478,0.00138415566184691
"24","M12","Durusdinium",0.977099612850808,0.0034234367338708
"25","M2-AE23","Symbiodinium",0.0372644861235065,0.0144562181263576
"26","M2-AE23","Breviolum",0.0059007106867392,0.00328726331206588
"27","M2-AE23","Cladocopium",0.130969790129576,0.0747797940947048
"28","M2-AE23","Durusdinium",0.825865013060178,0.0570363126562814
"29","M22","Symbiodinium",0.0558613213083599,0.0103595912045536
"30","M22","Breviolum",0.0150802617838399,0.00902489846204062
"31","M22","Cladocopium",0.315796204943483,0.220189954226067
"32","M22","Durusdinium",0.613262211964317,0.200805464559473
"33","M33","Symbiodinium",0.00715301872450773,0.000205991141607325
"34","M33","Breviolum",0.00160802064637916,5.06487230804266e-05
"35","M33","Cladocopium",0.00868310623453129,9.37044237737531e-05
"36","M33","Durusdinium",0.982555854394582,0.000350344288461479
"37","OF201","Symbiodinium",0.00306926426894522,0.000877073946967268
"38","OF201","Breviolum",0.000826531039843191,0.000178838444713341
"39","OF201","Cladocopium",0.0125853097759429,0.00921203717554244
"40","OF201","Durusdinium",0.983518894915269,0.00815612478386185
"41","OF393","Symbiodinium",0.0145499769735099,0.00524700975136637
"42","OF393","Breviolum",0.00276398383817081,0.00127497130342764
"43","OF393","Cladocopium",0.0205794725546978,0.00665062375441812
"44","OF393","Durusdinium",0.962106566633621,0.0131692590701945
"45","OF443","Symbiodinium",0.0043745209713345,0.002616411153792
"46","OF443","Breviolum",0.000770525772458782,0.000506094621039787
"47","OF443","Cladocopium",0.0144938655271738,0.00754004092364189
"48","OF443","Durusdinium",0.980361087729033,0.0106625466984737
"49","OF457","Symbiodinium",0.0298420722120006,0.0272025367702383
